company,domain,provider,token,confidence,method
instacart,instacart.com,greenhouse,instacart,probable,slug_guess+name_match
multiplylabs,multiplylabs.com,lever,multiplylabs,verified,slug_guess+careers_page
eavor,eavor.com,bamboohr,eavortechnologies,verified,careers_page
swiftcomply,swiftcomply.com,rippling,swiftcomply,verified,careers_page
lumenaza,lumenaza.de,personio,lumenaza.jobs.personio.de,verified,careers_page
3yourmind,3yourmind.com,bamboohr,3yourmind,verified,careers_page
taptapsend,taptapsend.com,ashby,taptapsend,verified,slug_guess+careers_page
machindustries,machindustries.com,greenhouse,machindustries,verified,slug_guess+careers_page
bostonmetal,bostonmetal.com,workable,boston-metal,verified,careers_page
zivianhealth,zivianhealth.com,rippling,zivian-health-inc,verified,careers_page
bitgo,bitgo.com,greenhouse,bitgo,verified,slug_guess+careers_page
hermeus,hermeus.com,lever,hermeus,verified,slug_guess+careers_page
loyalfordogs,loyalfordogs.com,greenhouse,loyal36,verified,careers_page
etched,etched.com,ashby,etched,verified,slug_guess+careers_page
xcimer,xcimer.energy,lever,xcimer,verified,slug_guess+careers_page
teleo,teleo.ai,lever,teleo,verified,slug_guess+careers_page
owletcare,owletcare.com,workable,owlet-baby-care-1,verified,careers_page
leap,leap.ac,workable,leapfrog-power-inc,verified,careers_page
venusaero,venusaero.com,lever,venusaero,verified,slug_guess+careers_page
rhinofcp,rhinofcp.com,rippling,rhino-federated-computing-jobs,verified,careers_page
shipmonk,shipmonk.com,greenhouse,shipmonk,probable,slug_guess+name_match
akasa,akasa.com,ashby,akasa,verified,slug_guess+careers_page
aalo,aalo.com,rippling,aalo-atomics,verified,careers_page
outpacebio,outpacebio.com,lever,outpacebio,verified,slug_guess+careers_page
mobilionsystems,mobilionsystems.com,breezy_hr,mobilion-systems-inc,verified,careers_page
goswift,goswift.ly,lever,goswift,verified,slug_guess+careers_page
atroposhealth,atroposhealth.com,ashby,atroposhealth,verified,slug_guess+careers_page
heirloomcarbon,heirloomcarbon.com,ashby,heirloomcarbon,verified,slug_guess+careers_page
citrine,citrine.io,rippling,citrine-informatics,verified,careers_page
sourcemap,sourcemap.com,breezy_hr,sourcemap-inc,verified,careers_page
noteworthy,noteworthy.ai,rippling,noteworthy-ai-inc,verified,careers_page
zwitterco,zwitterco.com,breezy_hr,zwitterco,verified,careers_page
capsule8,capsule8.com,lever,sophos,verified,careers_page+redirected_domain
tanso,tanso.io,personio,tanso.jobs.personio.de,verified,careers_page
salesloft,salesloft.com,greenhouse,salesloft,probable,slug_guess+name_match
delinea,delinea.com,ashby,delinea,verified,slug_guess+careers_page
tala,tala.co,lever,tala,verified,slug_guess+careers_page
isee,isee.ai,lever,isee,verified,slug_guess+careers_page
noredink,noredink.com,greenhouse,noredink,verified,slug_guess+careers_page
zenos,zenos.com,ashby,zenos,verified,slug_guess+careers_page
regscale,regscale.com,ashby,regscale,verified,slug_guess+careers_page
viam,viam.com,greenhouse,viamrobotics,verified,careers_page
creditgenie,creditgenie.com,ashby,creditgenie,verified,slug_guess+careers_page
galileohealth,galileohealth.com,greenhouse,galileo,verified,careers_page
clarostechnologies,clarostechnologies.com,breezy_hr,claros-technologies,verified,careers_page
adept-id,adept-id.com,lever,adeptid,verified,slug_guess+careers_page
twelve,twelve.co,ashby,twelve,verified,slug_guess+careers_page
journeyclinical,journeyclinical.com,lever,JourneyClinical,verified,careers_page
equilibriumenergy,equilibriumenergy.com,greenhouse,equilibriumenergy,verified,slug_guess+careers_page
velo3d,velo3d.com,lever,velo3d,verified,slug_guess+careers_page
kinexon,kinexon.com,greenhouse,kinexon,probable,slug_guess+name_match
bennie,bennie.com,greenhouse,bennie,verified,slug_guess+careers_page
manypets,manypets.com,greenhouse,manygroup,verified,careers_page
alasco,alasco.de,breezy_hr,alasco,verified,careers_page
gojitsu,gojitsu.com,rippling,jitsu,verified,careers_page
interplaylearning,interplaylearning.com,rippling,interplaylearning,verified,careers_page
peakenergy,peakenergy.com,greenhouse,peakenergy,probable,slug_guess+name_match
leveltenenergy,leveltenenergy.com,greenhouse,leveltenenergy,verified,slug_guess+careers_page
