company_domain,company_website,discovered_via_investors,discovery_method,first_discovered_at,last_seen_at,careers_page_url,ats_provider,ats_token,last_checked_at,notes
cdn.hu-manity.co,https://cdn.hu-manity.co,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.011345+00:00,2026-09-22T03:02:31.011345+00:00,,,,,
bcorporation.net,https://bcorporation.net,Arborview Capital;Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.012336+00:00,2026-09-22T03:04:46.690991+00:00,,,,,
financeforbiodiversity.org,https://financeforbiodiversity.org,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.018345+00:00,2026-09-22T03:02:31.018345+00:00,,,,,
ifvi.org,https://ifvi.org,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.024537+00:00,2026-09-22T03:02:31.024537+00:00,,,,,
impactvaluationhub.org,https://impactvaluationhub.org,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.030494+00:00,2026-09-22T03:02:31.030494+00:00,,,,,
investeurope.eu,https://investeurope.eu,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.037905+00:00,2026-09-22T03:02:31.037905+00:00,,,,,
impactprinciples.org,https://impactprinciples.org,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.044749+00:00,2026-09-22T03:02:31.044749+00:00,,,,,
unpri.org,https://unpri.org,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.052029+00:00,2026-09-22T03:02:31.052029+00:00,,,,,
projectframe.how,https://projectframe.how,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.060491+00:00,2026-09-22T03:02:31.060491+00:00,,,,,
ventureesg.com,https://ventureesg.com,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.067800+00:00,2026-09-22T03:02:31.067800+00:00,,,,,
auth.fundrbird.com,https://auth.fundrbird.com,Astanor Ventures,vc_portfolio_page,2026-09-22T03:02:31.075873+00:00,2026-09-22T03:02:31.075873+00:00,,,,,
atoneventures.arkpes.com,https://atoneventures.arkpes.com,At One Ventures,vc_portfolio_page,2026-09-22T03:02:31.109328+00:00,2026-09-22T03:02:31.109328+00:00,,,,,
addisenergy.com,https://addisenergy.com,At One Ventures,vc_portfolio_page,2026-09-22T03:02:31.117628+00:00,2026-09-22T03:02:31.117628+00:00,,,,,
audacypartners.com,https://audacypartners.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.138841+00:00,2026-09-22T03:02:31.138841+00:00,,,,,
ampd.energy,https://ampd.energy,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.147248+00:00,2026-09-22T03:02:31.147248+00:00,,,,,
edgezero.co,https://edgezero.co,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.156179+00:00,2026-09-22T03:02:31.156179+00:00,,,,,
momentenergy.com,https://momentenergy.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.166308+00:00,2026-09-22T03:02:31.166308+00:00,,,,,
conrytech.com,https://conrytech.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.175490+00:00,2026-09-22T03:02:31.175490+00:00,,,,,
flyoro.co,https://flyoro.co,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.186371+00:00,2026-09-22T03:02:31.186371+00:00,,,,,
genh2hydrogen.com,https://genh2hydrogen.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.196246+00:00,2026-09-22T03:02:31.196246+00:00,,,,,
h3dynamics.com,https://h3dynamics.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.205842+00:00,2026-09-22T03:02:31.205842+00:00,,,,,
jetzero.au,https://jetzero.au,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.216704+00:00,2026-09-22T03:02:31.216704+00:00,,,,,
xfuel.com,https://xfuel.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.226674+00:00,2026-09-22T03:02:31.226674+00:00,,,,,
coolplanettech.com,https://coolplanettech.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.236465+00:00,2026-09-22T03:02:31.236465+00:00,,,,,
ocochem.com,https://ocochem.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.247730+00:00,2026-09-22T03:02:31.247730+00:00,,,,,
siteassets.parastorage.com,https://siteassets.parastorage.com,Audacy Ventures,vc_portfolio_page,2026-09-22T03:02:31.257979+00:00,2026-09-22T03:02:31.257979+00:00,,,,,
autodesk.com,https://autodesk.com,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.283678+00:00,2026-09-22T03:02:31.283678+00:00,,,,,
autodesk.com.cn,https://autodesk.com.cn,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.295208+00:00,2026-09-22T03:02:31.295208+00:00,,,,,
blogs.autodesk.com,https://blogs.autodesk.com,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.306640+00:00,2026-09-22T03:02:31.306640+00:00,,,,,
raiseus.ai,https://raiseus.ai,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.318474+00:00,2026-09-22T03:02:31.318474+00:00,,,,,
loamist.com,https://loamist.com,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.329415+00:00,2026-09-22T03:02:31.329415+00:00,,,,,
ebbcarbon.com,https://ebbcarbon.com,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.342308+00:00,2026-09-22T03:02:31.342308+00:00,,,,,
primecoalition.org,https://primecoalition.org,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.354088+00:00,2026-09-22T03:02:31.354088+00:00,,,,,
rmi.org,https://rmi.org,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.366667+00:00,2026-09-22T03:02:31.366667+00:00,,,,,
upayasv.org,https://upayasv.org,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.378754+00:00,2026-09-22T03:02:31.378754+00:00,,,,,
socialfinance.org,https://socialfinance.org,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.392448+00:00,2026-09-22T03:02:31.392448+00:00,,,,,
seaf.com,https://seaf.com,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.404690+00:00,2026-09-22T03:02:31.404690+00:00,,,,,
beyondthedome.com,https://beyondthedome.com,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.417013+00:00,2026-09-22T03:02:31.417013+00:00,,,,,
fika.org,https://fika.org,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.428519+00:00,2026-09-22T03:02:31.428519+00:00,,,,,
mati.earth,https://mati.earth,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.440614+00:00,2026-09-22T03:02:31.440614+00:00,,,,,
nature.org,https://nature.org,Autodesk Foundation,vc_portfolio_page,2026-09-22T03:02:31.453377+00:00,2026-09-22T03:02:31.453377+00:00,,,,,
unifyndlabs.com,https://unifyndlabs.com,Avaana Capital,vc_portfolio_page,2026-09-22T03:02:31.496059+00:00,2026-09-22T03:02:31.496059+00:00,,,,,
airtable.com,https://airtable.com,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.534634+00:00,2026-09-22T03:02:31.534634+00:00,,,,,
aonics.ai,https://aonics.ai,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.553233+00:00,2026-09-22T03:02:31.553233+00:00,,,,,
autonomique.ai,https://autonomique.ai,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.566249+00:00,2026-09-22T03:02:31.566249+00:00,,,,,
avatour.co,https://avatour.co,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.586927+00:00,2026-09-22T03:02:31.586927+00:00,,,,,
battgenie.life,https://battgenie.life,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.605819+00:00,2026-09-22T03:02:31.605819+00:00,,,,,
trybeem.com,https://trybeem.com,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.621119+00:00,2026-09-22T03:02:31.621119+00:00,,,,,
bluestudios.io,https://bluestudios.io,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.635089+00:00,2026-09-22T03:02:31.635089+00:00,,,,,
boxpower.io,https://boxpower.io,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.647853+00:00,2026-09-22T03:02:31.647853+00:00,,,,,
cambiumcarbon.com,https://cambiumcarbon.com,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.661246+00:00,2026-09-22T03:02:31.661246+00:00,,,,,
capezero.com,https://capezero.com,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.675031+00:00,2026-09-22T03:02:31.675031+00:00,,,,,
chargerhelp.com,https://chargerhelp.com,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.688445+00:00,2026-09-22T03:02:31.688445+00:00,,,,,
clearcurrent.ai,https://clearcurrent.ai,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.703410+00:00,2026-09-22T03:02:31.703410+00:00,,,,,
concentro.io,https://concentro.io,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.721525+00:00,2026-09-22T03:02:31.721525+00:00,,,,,
courie.ai,https://courie.ai,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.736675+00:00,2026-09-22T03:02:31.736675+00:00,,,,,
doowii.io,https://doowii.io,Avesta Fund,vc_portfolio_page,2026-09-22T03:02:31.751354+00:00,2026-09-22T03:02:31.751354+00:00,,,,,
adsmurai.com,https://adsmurai.com,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.777234+00:00,2026-09-22T03:02:31.777234+00:00,,,,,
aganova.com,https://aganova.com,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.793677+00:00,2026-09-22T03:02:31.793677+00:00,,,,,
alia-mentis.com,https://alia-mentis.com,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.806073+00:00,2026-09-22T03:02:31.806073+00:00,,,,,
ampere.greaveselectricmobility.com,https://ampere.greaveselectricmobility.com,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.818131+00:00,2026-09-22T03:02:31.818131+00:00,,,,,
arenit.de,https://arenit.de,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.832137+00:00,2026-09-22T03:02:31.832137+00:00,,,,,
arteche.com,https://arteche.com,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.845800+00:00,2026-09-22T03:02:31.845800+00:00,,,,,
basquevolt.com,https://basquevolt.com,Axon Partners Group,vc_portfolio_page,2026-09-22T03:02:31.860783+00:00,2026-09-22T03:02:31.860783+00:00,,,,,
