name,original_url,final_url,status,redirected,ats_guess
Neurable,http://neurable.com/about/careers,https://www.neurable.com/careers,200,True,
Chewy,https://careers.chewy.com/us/en/corporate-careers,https://careers.chewy.com/us/en/corporate-careers,200,False,
Appcues,https://www.appcues.com/careers#work-with-us,https://www.appcues.com/careers#work-with-us,200,False,lever
Soofa,http://www.soofa.co/careers,https://soofadigital.com/careers,404,True,
FareHarbor,https://fareharbor.com/jobs/,https://fareharbor.com/careers/,200,True,
Spiro Technologies,https://spiro.ai/careers/,https://job-boards.greenhouse.io/cordance,200,True,greenhouse
Privy,https://www.privy.com/careers,https://www.privy.com/careers,200,False,workable
Berkshire Grey,https://www.berkshiregrey.com/careers/,https://www.berkshiregrey.com/careers/,403,False,
Thrive Hive,https://jobs.dayforcehcm.com/gannett/LocalIQ,https://jobs.dayforcehcm.com/gannett/LocalIQ,200,False,dayforce
Zaius,https://careers.optimizely.com/?_gl=1*47he21*_gcl_au*MTg2MzgyMzYxMS4xNzkwMjA3MTky,https://careers.optimizely.com/?_gl=1*47he21*_gcl_au*MTg2MzgyMzYxMS4xNzkwMjA3MTky,200,False,
Smartsheet,https://www.smartsheet.com/careers-list,https://www.smartsheet.com/careers-list,200,False,
Log Rocket,https://jobs.logrocket.com/,https://logrocket.com/careers,200,True,lever
Commonwealth Fusion Systems,https://jobs.lever.co/cfsenergy,https://jobs.lever.co/cfsenergy,200,False,lever
AugmentX,https://hostalabs.com/beta/,,ERROR:ConnectError,False,
WaveSense,https://careers.tellent.com/open-positions,https://careers.tellent.com/open-positions,200,False,tellent
Owl Labs,https://owllabs.com/careers,https://owllabs.com/careers,200,False,greenhouse
Bento,https://www.bento.net/careers/,https://bento.net/careers/,200,True,
Zapata Computing,https://zapata.bamboohr.com/jobs/,https://www.bamboohr.com/,200,True,bamboohr
Humon,https://humon.io/careers/,https://humon.io/careers/,200,False,
Raptor Maps,https://raptormaps.com/jobs/,https://raptormaps.com/jobs/,404,False,
Blueday,https://www.blueday.com/careers/,,ERROR:ConnectTimeout,False,
Armored Things,https://www.armoredthings.com/careers.html,https://lambentspaces.com,403,True,
Asimov,https://hire.withgoogle.com/public/jobs/asimovio,https://hire.google.com/jobs/,200,True,google_hire_defunct
CIVIQ Smartscapes,http://civiqsmartscapes.com/careers,http://civiqsmartscapes.com/careers,403,False,
Suvie,https://www.suvie.com/jobs,https://www.suvie.com/jobs/,404,True,
Lightmatter,https://lightmatter.co/careers.php,https://lightmatter.co/careers.php,404,False,
PathAI,https://www.pathai.com/careers/,https://www.pathai.com/careers,200,True,
MobileMonkey,https://mobilemonkey.com/jobs,https://customers.ai/jobs,200,True,
figur8,https://figur8tech.com/pages/career,https://www.figur8tech.com/pages/career,404,True,
Clora,https://angel.co/company/clora/jobs,https://wellfound.com/company/clora/jobs,403,True,angellist_wellfound
Ampion,https://ampion.net/careers/,https://ampion.net/careers,200,True,
Veo Robotics,https://www.veobot.com/jobs/,https://www.veobot.com/jobs/,403,False,
Atlas5D,http://www.atlas5d.com/careers/,https://atlas5d.com/careers/,200,True,
WatchTower Robotics,https://www.wtrco.com/jobs,https://www.wtrco.com/jobs,404,False,
Day Zero Diagnostics,https://www.dayzerodiagnostics.com/careers,https://www.biomerieux.com/us/en.html,200,True,
Thought Industries,https://www.thoughtindustries.com/careers,https://www.thoughtindustries.com/about-us/careers/,200,True,
Revulytics,https://www.revulytics.com/about/careers,https://www.revenera.com/about-us/careers,200,True,workday
Great Horn,https://www.greathorn.com/careers-at-gh/,https://www.greathorn.com/careers-at-gh/,404,False,
Cuseum,https://cuseum.com/careers,https://cuseum.com/careers,200,False,
SimpliSafe,https://careers.simplisafe.com/,https://careers.simplisafe.com/,200,False,
Lola.com,https://www.lola.com/careers,https://lola.com/careers,404,True,
Toast,https://careers.toasttab.com/,https://careers.toasttab.com/,200,False,
Recorded Future,https://www.recordedfuture.com/jobs/,https://www.recordedfuture.com/work-with-us/jobs,200,True,
Rapid7,https://www.rapid7.com/careers/,https://careers.rapid7.com/,200,True,
EzCater,https://www.ezcater.com/company/careers/,https://www.ezcater.com/company/about-us/careers/,200,True,
Wayfair,https://www.wayfaircareers.com/jobs/4312126002?lang=en-us,,ERROR:ConnectError,False,
Vistaprint,https://jobs.vistaprint.com/Vistaprint/go/Waltham-MA%2C-USA/7790700/?q=&sortColumn=referencedate&sortDirection=desc,https://jobs.vista.com/errorpage/?errortype=Exception,200,True,
Enel X,https://www.enelx.com/n-a/en/work-with-us,https://www.enelnorthamerica.com/careers/life-at-enel,200,True,
Interactions LLC,https://www.interactions.com/about-us/careers/open-positions/,https://www.soundhound.com/resource/interactions-now-part-of-soundhound-ai,200,True,
Machine Metrics,https://www.machinemetrics.com/careers,https://www.machinemetrics.com/careers,200,False,greenhouse
TJX,https://jobs.tjx.com/,https://jobs.tjx.com/global/en,200,True,
IRobot,https://www.irobot.com/about-irobot/careers,https://careers.irobot.com/,200,True,
Circle CI,https://circleci.com/careers/,https://circleci.com/careers/,200,False,greenhouse
Cybba,https://cybba.com/about/careers/,https://cybba.com/about/careers/,404,False,
Close.com,https://jobs.lever.co/close.io/,https://jobs.lever.co/close.io/,404,False,lever
Rave Mobile Safety,https://www.ravemobilesafety.com/careers,https://www.motorolasolutions.com/en_us/products/command-center-software/rave.html,200,True,
Ten Percent Happier,http://jobs.10percenthappier.com/,http://jobs.tenpercent.com,403,True,
Jibo,https://www.jibo.com/jobs/,,ERROR:ConnectError,False,
Pickle Robot Co,https://www.picklerobot.com/jobs,https://www.picklerobot.com/jobs,404,False,
Blueconic,https://www.blueconic.com/about/careers/,https://www.blueconic.com/about/careers,200,True,
Ace Up,https://www.ace-up.com/jobs,,ERROR:ConnectTimeout,False,
Rifinity,https://rifiniti.com/careers/,,ERROR:ConnectError,False,
Buoy Health,https://www.buoyhealth.com/careers/,https://www.buoyhealth.com/careers,200,True,bamboohr
Mark Forged,https://boards.greenhouse.io/markforged,https://job-boards.greenhouse.io/markforged,200,True,greenhouse
Evolv Technology,https://chp.tbe.taleo.net/chp01/ats/careers/requisition.jsp?org=EVOLV&cws=1&rid=73,https://chp.tbe.taleo.net/chp01/ats/careers/requisition.jsp?org=EVOLV&cws=1&rid=73,500,False,taleo
Brandwatch,https://www.brandwatch.com/careers/,https://www.brandwatch.com/company/careers/,200,True,greenhouse
Clear Company,https://www.clearcompany.com/careers,https://clearcompany.com/about/work-with-clearco,200,True,
Word Stream,https://www.wordstream.com/jobs#workable-api,https://www.wordstream.com/jobs#workable-api,403,False,
