domain,reason,method,subcause,detail
instacart.com,accepted,slug_guess+name_match,,
multiplylabs.com,accepted,slug_guess+careers_page,,
cloover.co,unknown,no_ats_evidence,no_ats_evidence,
gritt.ai,weak_only,slug_guess_uncorroborated,uncorroborated_ashby,gritt: domain_in_text
pendulumlife.com,no_careers_page,careers_page_none,no_careers_link,1274108 bytes
thermondo.de,unknown,no_ats_evidence,no_ats_evidence,
coord.co,no_careers_page,careers_page_none,dead_dns,
eavor.com,accepted,careers_page,,
landbase.com,weak_only,careers_page_token_dead,careers_page_token_dead,
daily-harvest.com,unknown,no_ats_evidence,no_ats_evidence,
swiftcomply.com,accepted,careers_page,,
sig-asiavc.com,no_careers_page,careers_page_none,careers_link_offsite,'Careers' -> https://careers.sig.com/c/growth-equity-private-equity-venture-capital-jobs
skyviewventures.com,unknown,no_ats_evidence,no_ats_evidence,
bluon.com,no_careers_page,careers_page_none,no_careers_link,140371 bytes
sention.io,no_careers_page,careers_page_none,no_careers_link,63464 bytes
akaidentity.io,no_careers_page,careers_page_none,no_careers_link,53131 bytes
365.pinnaclefundservices.com,js_rendered,careers_page_js_rendered,,
lumenaza.de,accepted,careers_page,,
yummyeats.co,no_careers_page,careers_page_none,no_careers_link,249798 bytes
elasticenergy.com,unknown,no_ats_evidence,no_ats_evidence,
careers.playground.global,unknown,careers_page_probe_inconclusive,careers_page_probe_inconclusive,
getmysa.com,unknown,no_ats_evidence,no_ats_evidence,
neggst.co,no_careers_page,careers_page_none,http_402,
sparx.ai,no_careers_page,careers_page_none,no_careers_link,189948 bytes
3yourmind.com,accepted,careers_page,,
behance.net,unknown,no_ats_evidence,no_ats_evidence,
utilidata.com,unknown,no_ats_evidence,no_ats_evidence,
viestories.com,no_careers_page,careers_page_none,no_careers_link,186574 bytes
omeat.bio,no_careers_page,careers_page_none,no_careers_link,99254 bytes
taptapsend.com,accepted,slug_guess+careers_page,,
earthscale.co.uk,unknown,no_ats_evidence,no_ats_evidence,
attackiq.com,unknown,no_ats_evidence,no_ats_evidence,
suki.ai,weak_only,slug_guess_uncorroborated,uncorroborated_greenhouse,suki: n/a
machindustries.com,accepted,slug_guess+careers_page,,
supplyshift.net,unsupported_ats:workday,careers_page_unsupported_ats,,
platformeleven.io,unknown,no_ats_evidence,no_ats_evidence,
ema.co,weak_only,slug_guess_uncorroborated,uncorroborated_ashby,ema: no_mention
bostonmetal.com,accepted,careers_page,,
zivianhealth.com,accepted,careers_page,,
agriculture.basf.us,no_careers_page,careers_page_none,careers_link_missed,subdomain_input; 'Hiring and Recruitment' -> /hiring-and-recruitment.html
energyimpactpartners.com,unknown,no_ats_evidence,no_ats_evidence,
mitrachem.com,unsupported_ats:trinet,careers_page_unsupported_ats,,
trexgroup.com,js_rendered,careers_page_js_rendered,,
oceanloop.com,no_careers_page,careers_page_none,no_careers_link,190521 bytes
radiantnuclear.com,no_careers_page,careers_page_none,blocked_403,browser_ua_403
deployed.co,unknown,no_ats_evidence,no_ats_evidence,
macrocycletech.com,no_careers_page,careers_page_none,dead_dns,
bitgo.com,accepted,slug_guess+careers_page,,
picus.xyz,weak_only,slug_guess_uncorroborated,uncorroborated_lever,picus: no_mention
aquaconnect.blue,unknown,no_ats_evidence,no_ats_evidence,
aquatic-labs.com,weak_only,slug_guess_uncorroborated,uncorroborated_ashby,aquatic: no_text
hermeus.com,accepted,slug_guess+careers_page,,
elevaterenewablesenergy.com,no_careers_page,careers_page_none,dead_dns,
hbr.org,unsupported_ats:workday,careers_page_unsupported_ats,,
onedsinanode.com,no_careers_page,careers_page_none,careers_link_missed,'Join the Team' -> https://onedsinanode.com/company/join-the-team/
hydrogen.aero,unknown,careers_page_inconclusive,careers_page_inconclusive,
additiveflow.com,no_careers_page,careers_page_parked,no_careers_link,946 bytes
forto.com,weak_only,slug_guess_uncorroborated,uncorroborated_ashby,forto: domain_in_text
hedgedigital.com,unknown,no_ats_evidence,no_ats_evidence,
newphotonics.com,unknown,no_ats_evidence,no_ats_evidence,
getshield.xyz,no_careers_page,careers_page_none,no_careers_link,241734 bytes
spawning.ai,js_rendered,careers_page_js_rendered,,
genetirate.fish,unknown,no_ats_evidence,no_ats_evidence,
loyalfordogs.com,accepted,careers_page,,
freightwaves.com,no_careers_page,careers_page_none,no_careers_link,299319 bytes
glow.org,weak_only,slug_guess_uncorroborated,uncorroborated_greenhouse,glow: n/a
brightseedbio.com,weak_only,careers_page_token_dead,careers_page_token_dead,
microverse.org,no_careers_page,careers_page_none,no_careers_link,94399 bytes
echiontech.com,unknown,no_ats_evidence,no_ats_evidence,
insightpartners.altareturn.com,no_careers_page,careers_page_none,blocked_403,subdomain_input; browser_ua_200
etched.com,accepted,slug_guess+careers_page,,
buildkubik.com,no_careers_page,careers_page_none,no_careers_link,31425 bytes
xcimer.energy,accepted,slug_guess+careers_page,,
muonvision.com,no_careers_page,careers_page_none,no_careers_link,801661 bytes
telepath.computer,no_careers_page,careers_page_none,no_careers_link,4737 bytes
sunandearth.com,unknown,careers_page_inconclusive,careers_page_inconclusive,
teleo.ai,accepted,slug_guess+careers_page,,
powin.com,no_careers_page,careers_page_none,blocked_403,browser_ua_403
titanhaptics.com,unknown,no_ats_evidence,no_ats_evidence,
owletcare.com,accepted,careers_page,,
cibahealth.com,unknown,no_ats_evidence,no_ats_evidence,
aonics.ai,weak_only,slug_guess_uncorroborated,uncorroborated_ashby,aonics: no_text
leap.ac,accepted,careers_page,,
goodmeat.co,weak_only,careers_page_token_dead,careers_page_token_dead,
autodesk.com,no_careers_page,careers_page_none,blocked_403,browser_ua_403
foghorn-systems.com,unknown,careers_page_inconclusive,careers_page_inconclusive,
enerkem.com,unknown,no_ats_evidence,no_ats_evidence,
enverus.ondemand.goldcast.io,no_careers_page,careers_page_none,http_404,subdomain_input; 
venusaero.com,accepted,slug_guess+careers_page,,
cleartrace.io,no_careers_page,careers_page_none,blocked_403,browser_ua_403
rhinofcp.com,accepted,careers_page,,
shipmonk.com,accepted,slug_guess+name_match,,
rain.aero,weak_only,slug_guess_uncorroborated,uncorroborated_ashby,rain: no_mention
117760946.intellimizeio.com,no_careers_page,careers_page_none,http_404,subdomain_input; 
therobotreport.com,no_careers_page,careers_page_none,blocked_403,browser_ua_403
shield.ai,weak_only,careers_page_ambiguous:2,careers_page_ambiguous:2,
myrspoven.com,unsupported_ats:teamtailor,careers_page_unsupported_ats,,
t8notch.com,js_rendered,careers_page_js_rendered,,
75f.io,weak_only,careers_page_ambiguous:2,careers_page_ambiguous:2,
sig.com,unknown,no_ats_evidence,no_ats_evidence,
